date,OilShock,OilPrice,WorldOilProd,WorldOilInv,WorldIndProd,UsIndProd,UsCpi
198605,0,18.1354169251,2.1145111289,-1.0519563501,-0.6280125316,0.2025302905,0.2756088102
198606,0,-14.0492837544,1.3589830311,0.0080915804,0.5224932388,-0.3435942814,0.3663007759
198607,0,-15.2456807913,1.9710036176,2.1501379754,0.5421698537,0.5522001807,0.0913659269
198608,9.3829608808,26.4404376872,1.114660801,-0.3852393842,-0.5149758186,-0.1336401526,0.0912825257
198609,0,-1.55744776,-7.082559292,1.0832240651,0.8277621821,0.201093899,0.3642991279
198610,-1.1491975049,-0.5915310392,0.6465882241,-0.1843303043,0.2524527119,0.4522522422,0.1816530926
198611,0,2.1808074719,1.6660286415,-0.1577129483,-0.0472647705,0.4675718137,0.1813237124
198612,2.9975366103,5.1954987958,0.3022278783,-0.2370792516,0.6717120577,0.8254197271,0.361664047
198701,0,14.3439780401,-1.2428021059,0.1418326935,-1.1427790682,-0.3159859858,0.540055318
198702,0,-5.471955508,-1.2599900713,0.2530508503,2.2350649669,1.2793073448,0.3584233228
198703,0,2.8570325888,-1.3591361265,0.5561236148,-0.2326957164,0.1655550559,0.3571432368
198704,0,1.3850065984,1.2351785689,-0.4989902578,0.5659317393,0.646981353,0.4446427957
198705,0,3.7916825004,1.4558846079,-0.2089297257,0.4318511449,0.6327417523,0.2658397667
198706,1.1923765577,2.6969848797,-0.5389502433,0.6994611377,0.2915173961,0.4736985942,0.4415018209
198707,0,6.1215389333,4.5265488603,-0.0668255112,0.2374252276,0.6925840167,0.2639684771
198708,0,-5.6330676442,1.3673599905,1.6280109367,0.3811326826,0.8259384188,0.4384049109
198709,0,-4.1085819491,-1.0396810571,1.2191244324,0.702317117,0.2689307805,0.3493453335
198710,0,1.3744231358,0.3351680669,1.1796800078,1.2039393275,1.4332206025,0.2612104228
198711,0,-5.1355908477,-0.7959383595,1.4875278728,0.5456162154,0.5395340744,0.3472225711
198712,-4.3240011573,-9.4660897594,0.1279113148,-0.7608763512,0.2878761401,0.4868066006,0.1731602164
198801,0,-0.8163409002,-1.3564712924,-0.1075867418,0.8371806546,0.0427834228,0.3454234868
198802,0,-2.5010367453,0.1399966401,-0.1583701763,0.4372440322,0.4317755276,0.1722653311
198803,0,-3.5811733769,0.6293076662,-0.2992024108,0.2442335846,0.2410524624,0.2578428588
198804,0,9.1352409706,0.5389969915,-0.1916322812,0.1644358024,0.5497091536,0.5990604137
198805,0,-2.7307812016,-0.490358398,0.4128738942,0.0912439864,-0.1079893192,0.2556456441
198806,2.3113179452,-5.7721112054,-0.5835539636,0.68040494,0.5628734544,0.2594843732,0.4246290881
198807,0,-6.8694264601,0.738029861,0.3204750341,-0.1913994864,0.0492891784,0.422833611
198808,0,-0.2534302371,1.9849505373,-1.2527455338,0.7899882329,0.426158276,0.4210532536
198809,0,-7.4709898119,0.6000552696,-0.1372594193,0.4069090607,-0.2849024967,0.419287826
198810,0,-5.0688230185,2.8045553919,0.3498062026,0.0139351707,0.4930652184,0.3341690662
198811,5.9293925357,0.9558906432,0.7514193637,-0.5732576943,0.6519511,0.1554072539,0.3330560947
198812,0,14.8344413119,0.4020440281,0.3310123479,0.8881631658,0.4842722884,0.3319505123
198901,0,9.6215881907,-4.8153904511,0.3036952165,-0.0122408126,0.2941373229,0.4133945532
198902,0,-1.2063697371,-0.8196690784,-0.4546124272,-0.4297184849,-0.4522292661,0.3294895897
198903,0,8.2009824694,0.6883483108,0.0089295191,0.8131753017,0.2184224533,0.4922077205
198904,0,7.1497433809,0.7311054031,0.6296894411,0.63450771,0.0872355727,0.7337986453
198905,0,-5.395663916,-0.1339264391,0.615369307,-0.7430865869,-0.7051993907,0.4862246208
198906,-3.2107751064,-0.4577165421,0.0627574547,-0.5907225391,1.0479778708,0.04938353,0.3228412812
198907,0,-2.1428317826,0.8742922668,0.1007643341,-0.6187322458,-0.8913913281,0.3218023694
198908,0,-5.8812733429,1.4878595655,1.6337543457,0.4250931987,0.897190333,0
198909,0.9265411814,5.3857442144,0.1373151519,-0.2111929463,-0.0573177745,-0.3609621926,0.2406740031
198910,0,2.025238441,0.9380178398,-0.9041525093,-0.1391966995,-0.0651401244,0.4796172263
198911,-1.864129905,-1.7559737546,1.2371584393,2.4900143896,0.4518231314,0.3329641176,0.3979312851
198912,0,5.8840541112,-0.5792287419,2.2890019004,0.7696219692,0.6183535956,0.3172088306
199001,0,6.1601928409,-0.9118576153,-1.6846836613,-0.3975376547,-0.6729597345,0.9456335242
199002,0,-2.7736787321,0.4217713464,-1.4380358457,0.4058696159,0.9974930847,0.3913899321
199003,0,-8.4199217108,1.4660918008,3.7984406532,0.4213946863,0.4986737455,0.4676547884
199004,0,-9.6553592669,-0.4463593632,0.5741367668,-1.0296004184,-0.1154177135,0.2330098142
199005,0,-2.0291260692,-0.9224667745,1.6562960241,1.1157652182,0.1628766883,0.1550387907
199006,0,-8.4033951635,-1.3630372556,0.2314508227,0.3548010869,0.3311215321,0.6177625824
199007,0.4307949472,9.4998032653,0.1727192137,-1.9433479473,-0.0149419011,-0.1137475944,0.4608303086
199008,0,36.866433431,-6.0423286843,-0.6901286199,0.5456190992,0.3070373028,0.8393792128
199009,0,20.8035745921,4.3763028271,-1.6939669753,0.2005104458,0.1447224946,0.6815626535
199010,0,5.7468426858,0.5700838676,0.5135333209,-0.0672209888,-0.7597427233,0.6769488055
199011,0,-10.8529041569,1.3576605664,-0.5364072358,-0.4819527457,-1.1809099379,0.2246350626
199012,2.7631729431,-17.0558874718,0.3481150102,-0.5926247786,-0.2071763458,-0.6588109837,0.373274043
199101,0,-9.4725476223,-0.2979193433,-0.5600118833,0.2024625233,-0.4331379697,0.3718858879
199102,0,-19.6430385211,-0.5136753371,0.2688678042,-0.7044415728,-0.6875771431,0.0742115062
